location,date.x,people_fully_vaccinated,population,vaccination_percent,date.y,new_cases,new_cases_smoothed,new_cases_final
Afghanistan,2021-08-20,430744,39835428,1.0813088289148043,2021-09-27,112,69.571,112
Albania,2021-09-27,776148,2872934,27.01586601014851,2021-09-27,295,683.429,295
Algeria,2021-09-25,4032942,44616626,9.039101253420641,2021-09-27,155,158.714,155
Andorra,2021-08-29,43008,77354,55.59893476743284,2021-09-27,22,7,22
Angola,2021-09-26,1006732,33933611,2.96676943694557,2021-09-27,462,419.857,462
Anguilla,2021-09-24,9086,15125,60.07272727272728,NA,NA,NA,NA
Antigua and Barbuda,2021-09-24,40672,98728,41.19601328903654,2021-09-27,0,45.714,45.714
Argentina,2021-09-27,21448257,45605823,47.02964575378894,2021-09-27,1538,1506.571,1538
Armenia,2021-09-26,143840,2968128,4.846152187506738,2021-09-27,462,723.571,462
Aruba,2021-09-27,74566,107195,69.56108027426653,NA,NA,NA,NA
Australia,2021-09-27,10703942,25788217,41.507103806362416,2021-09-27,1880,1743,1880
Austria,2021-09-27,5394772,9043072,59.65640879559513,2021-09-27,1312,1681.143,1312
Azerbaijan,2021-09-27,3636800,10223344,35.573487500762965,2021-09-27,558,1134.571,558
Bahamas,2021-09-24,70128,396914,17.668311019515563,2021-09-27,172,80,172
Bahrain,2021-09-27,1112687,1748295,63.64412184442557,2021-09-27,63,70.571,63
Bangladesh,2021-09-27,16401651,166303494,9.862481301805962,2021-09-27,1212,1189.286,1212
Barbados,2021-09-25,101857,287708,35.4029085044559,2021-09-27,188,161.857,188
Belarus,2021-09-19,1512121,9442867,16.013367550342497,2021-09-27,1946,1968.571,1946
Belgium,2021-09-27,8384942,11632334,72.0830574500354,2021-09-27,4635,1924.714,4635
Belize,2021-09-24,115175,404915,28.444241383994175,2021-09-27,345,149,345
Benin,2021-09-15,21405,12451031,0.17191347447452343,2021-09-27,0,215.429,215.429
Bermuda,2021-09-24,42821,62092,68.96379565805579,NA,NA,NA,NA
Bhutan,2021-09-19,494279,779900,63.37722784972433,2021-09-27,0,0.286,0.286
Bolivia,2021-09-26,3258388,11832936,27.536597848581284,2021-09-27,307,259.429,307
Bonaire Sint Eustatius and Saba,2021-09-01,16736,26445,63.286065418793726,NA,NA,NA,NA
Bosnia and Herzegovina,2021-09-07,426082,3263459,13.056146867480178,2021-09-27,1436,665.429,1436
Botswana,2021-09-22,226606,2397240,9.452787372144634,2021-09-27,1623,608.857,1623
Brazil,2021-09-27,87994741,213993441,41.12029816839106,2021-09-27,14423,16961.143,14423
British Virgin Islands,2021-09-24,14959,30423,49.17003582815633,NA,NA,NA,NA
Brunei,2021-09-24,173829,441532,39.36951342145077,2021-09-27,160,205.571,160
Bulgaria,2021-09-27,1312649,6896655,19.03312547894595,2021-09-27,2536,1550.143,2536
